tipo;conta;data;banco;valor
Entradas;Vendas de produtos;02/01/2023;Itau Unibanco;4201365,79
Saídas;Fretes;02/01/2023;Itau Unibanco;-2211,34
Saídas;Salários;02/01/2023;Itau Unibanco;-10380086,42
Saídas;Encargos;02/01/2023;Itau Unibanco;-4040434,14
Saídas;Benefícios;02/01/2023;Itau Unibanco;-4003418,21
Saídas;Matéria-prima;02/01/2023;Itau Unibanco;-2827087,05
Saídas;Insumos de produção;02/01/2023;Itau Unibanco;-15280,62
Saídas;Insumos;02/01/2023;Itau Unibanco;-3323,12
Saídas;Serviços terceirizados;02/01/2023;Itau Unibanco;-981,25
Saídas;Peças de manutenção;02/01/2023;Itau Unibanco;-2102,89
Saídas;Material de consumo;02/01/2023;Itau Unibanco;-730,78
Saídas;Despesas com viagens;02/01/2023;Itau Unibanco;-126,6
Saídas;Outras despesas;02/01/2023;Itau Unibanco;-220,25
Saídas;Despesas bancárias;02/01/2023;Itau Unibanco;-1797,06
Entradas;Receita de aplicações;02/01/2023;Itau Unibanco;22357,69
Entradas;Transferências de entradas;02/01/2023;Itau Unibanco;0
Saídas;Transferências de saídas;02/01/2023;Itau Unibanco;0
Entradas;Vendas de produtos;02/01/2023;Bradesco;255473,12
Saídas;Fretes;02/01/2023;Bradesco;-73,21
Saídas;Salários;02/01/2023;Bradesco;-572891,83
Saídas;Encargos;02/01/2023;Bradesco;-211173,81
Saídas;Benefícios;02/01/2023;Bradesco;-154987,99
Saídas;Matéria-prima;02/01/2023;Bradesco;-143559,66
Saídas;Insumos de produção;02/01/2023;Bradesco;-968,18
Saídas;Insumos;02/01/2023;Bradesco;-140,57
Saídas;Serviços terceirizados;02/01/2023;Bradesco;-32,72
Saídas;Peças de manutenção;02/01/2023;Bradesco;-69,59
Saídas;Material de consumo;02/01/2023;Bradesco;-32,7
Saídas;Despesas com viagens;02/01/2023;Bradesco;-6,52
Saídas;Outras despesas;02/01/2023;Bradesco;-9,23
Saídas;Despesas bancárias;02/01/2023;Bradesco;-67,65
Entradas;Receita de aplicações;02/01/2023;Bradesco;1293,4
Entradas;Transferências de entradas;02/01/2023;Bradesco;0
Saídas;Transferências de saídas;02/01/2023;Bradesco;0
Entradas;Vendas de produtos;02/01/2023;Inter;61864,3
Saídas;Fretes;02/01/2023;Inter;-23,08
Saídas;Salários;02/01/2023;Inter;-170689,81
Saídas;Encargos;02/01/2023;Inter;-52938,78
Saídas;Benefícios;02/01/2023;Inter;-40486,87
Saídas;Matéria-prima;02/01/2023;Inter;-30501,03
Saídas;Insumos de produção;02/01/2023;Inter;-228,5
Saídas;Insumos;02/01/2023;Inter;-55,22
Saídas;Serviços terceirizados;02/01/2023;Inter;-6,47
Saídas;Peças de manutenção;02/01/2023;Inter;-26,11
Saídas;Material de consumo;02/01/2023;Inter;-3,76
Saídas;Despesas com viagens;02/01/2023;Inter;-1,25
Saídas;Outras despesas;02/01/2023;Inter;-1,59
Saídas;Despesas bancárias;02/01/2023;Inter;-23,88
Entradas;Receita de aplicações;02/01/2023;Inter;319,54
Entradas;Transferências de entradas;02/01/2023;Inter;0
Saídas;Transferências de saídas;02/01/2023;Inter;0
Entradas;Vendas de produtos;03/01/2023;Itau Unibanco;4139648,51
Saídas;Fretes;03/01/2023;Itau Unibanco;-2264,47
Saídas;Matéria-prima;03/01/2023;Itau Unibanco;-2750539,35
Saídas;Insumos de produção;03/01/2023;Itau Unibanco;-17830,69
Saídas;Insumos;03/01/2023;Itau Unibanco;-3035,9
Saídas;Serviços terceirizados;03/01/2023;Itau Unibanco;-941,93
Saídas;Peças de manutenção;03/01/2023;Itau Unibanco;-2216,22
Saídas;Material de consumo;03/01/2023;Itau Unibanco;-568,49
Saídas;Despesas com viagens;03/01/2023;Itau Unibanco;-145,93
Saídas;Outras despesas;03/01/2023;Itau Unibanco;-195,55
Saídas;Despesas bancárias;03/01/2023;Itau Unibanco;-1858,81
Entradas;Receita de aplicações;03/01/2023;Itau Unibanco;21352,97
Entradas;Transferências de entradas;03/01/2023;Itau Unibanco;0
Saídas;Transferências de saídas;03/01/2023;Itau Unibanco;0
Entradas;Vendas de produtos;03/01/2023;Bradesco;239317,58
Saídas;Fretes;03/01/2023;Bradesco;-67,87
Saídas;Matéria-prima;03/01/2023;Bradesco;-142668,03
Saídas;Insumos de produção;03/01/2023;Bradesco;-793,84
Saídas;Insumos;03/01/2023;Bradesco;-190,34
Saídas;Serviços terceirizados;03/01/2023;Bradesco;-34
Saídas;Peças de manutenção;03/01/2023;Bradesco;-70,67
Saídas;Material de consumo;03/01/2023;Bradesco;-32,56
Saídas;Despesas com viagens;03/01/2023;Bradesco;-6,7
Saídas;Outras despesas;03/01/2023;Bradesco;-6,87
Saídas;Despesas bancárias;03/01/2023;Bradesco;-69,93
Entradas;Receita de aplicações;03/01/2023;Bradesco;1117,16
Entradas;Transferências de entradas;03/01/2023;Bradesco;0
Saídas;Transferências de saídas;03/01/2023;Bradesco;0
Entradas;Vendas de produtos;03/01/2023;Inter;80241,98
Saídas;Fretes;03/01/2023;Inter;-21,62
Saídas;Matéria-prima;03/01/2023;Inter;-23126,1
Saídas;Insumos de produção;03/01/2023;Inter;-290,53
Saídas;Insumos;03/01/2023;Inter;-55,28
Saídas;Serviços terceirizados;03/01/2023;Inter;-6,71
Saídas;Peças de manutenção;03/01/2023;Inter;-23,69
Saídas;Material de consumo;03/01/2023;Inter;-3,97
Saídas;Despesas com viagens;03/01/2023;Inter;-1,64
Saídas;Outras despesas;03/01/2023;Inter;-1,22
Saídas;Despesas bancárias;03/01/2023;Inter;-21,75
Entradas;Receita de aplicações;03/01/2023;Inter;310,67
Entradas;Transferências de entradas;03/01/2023;Inter;0
Saídas;Transferências de saídas;03/01/2023;Inter;0
Entradas;Vendas de produtos;04/01/2023;Itau Unibanco;4419382,31
Saídas;Fretes;04/01/2023;Itau Unibanco;-2196,65
Saídas;Matéria-prima;04/01/2023;Itau Unibanco;-3215979,82
Saídas;Insumos de produção;04/01/2023;Itau Unibanco;-15282,54
